Date : 2025-06-15 17:04:45
Directory : d:\MyApps\TimeSelfie
Total : 64 files,  4110 codes, 476 comments, 630 blanks, all 5216 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| filename                                                                                                   | language        | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| d:\MyApps\TimeSelfie\.idea\AndroidProjectSystem.xml                                                        | XML             |          6 |          0 |          0 |          6 |
| d:\MyApps\TimeSelfie\.idea\appInsightsSettings.xml                                                         | XML             |         26 |          0 |          0 |         26 |
| d:\MyApps\TimeSelfie\.idea\compiler.xml                                                                    | XML             |          6 |          0 |          0 |          6 |
| d:\MyApps\TimeSelfie\.idea\deploymentTargetSelector.xml                                                    | XML             |         10 |          0 |          0 |         10 |
| d:\MyApps\TimeSelfie\.idea\gradle.xml                                                                      | XML             |         19 |          0 |          0 |         19 |
| d:\MyApps\TimeSelfie\.idea\inspectionProfiles\Project_Default.xml                                          | XML             |         61 |          0 |          0 |         61 |
| d:\MyApps\TimeSelfie\.idea\migrations.xml                                                                  | XML             |         10 |          0 |          0 |         10 |
| d:\MyApps\TimeSelfie\.idea\misc.xml                                                                        | XML             |         10 |          0 |          0 |         10 |
| d:\MyApps\TimeSelfie\.idea\runConfigurations.xml                                                           | XML             |         17 |          0 |          0 |         17 |
| d:\MyApps\TimeSelfie\app\build.gradle.kts                                                                  | Kotlinscript    |         79 |         13 |         18 |        110 |
| d:\MyApps\TimeSelfie\app\src\androidTest\java\com\example\timeselfie\ExampleInstrumentedTest.kt            | Kotlin          |         14 |          6 |          4 |         24 |
| d:\MyApps\TimeSelfie\app\src\main\AndroidManifest.xml                                                      | XML             |         45 |          4 |          7 |         56 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\MainActivity.kt                              | Kotlin          |         69 |          1 |          9 |         79 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\TimeSelfieApplication.kt                     | Kotlin          |          5 |          4 |          3 |         12 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\data\database\TimeSelfieDatabase.kt          | Kotlin          |         47 |          4 |          6 |         57 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\data\database\converters\Converters.kt       | Kotlin          |         13 |          4 |          5 |         22 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\data\database\dao\AppSettingsDao.kt          | Kotlin          |         16 |          4 |          8 |         28 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\data\database\dao\CapsuleEntryDao.kt         | Kotlin          |         25 |          4 |         12 |         41 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\data\database\dao\MoodEntryDao.kt            | Kotlin          |         23 |          4 |         11 |         38 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\data\database\dao\TimeCapsuleDao.kt          | Kotlin          |         23 |          4 |         11 |         38 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\data\database\entities\AppSettings.kt        | Kotlin          |         10 |          3 |          3 |         16 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\data\database\entities\CapsuleEntry.kt       | Kotlin          |         30 |          4 |          3 |         37 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\data\database\entities\MoodEntry.kt          | Kotlin          |         13 |          4 |          3 |         20 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\data\database\entities\TimeCapsule.kt        | Kotlin          |         15 |          4 |          3 |         22 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\data\models\UiState.kt                       | Kotlin          |         31 |         15 |          6 |         52 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\data\repository\SettingsRepository.kt        | Kotlin          |         85 |         34 |         14 |        133 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\data\repository\TimeCapsuleRepository.kt     | Kotlin          |         68 |          6 |         18 |         92 |
