"filename", "language", "Kotlinscript", "Batch", "Java Properties", "Markdown", "XML", "Kotlin", "comment", "blank", "total"
"d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\ui\theme\Theme.kt", "Kotlin", 0, 0, 0, 0, 0, 56, 1, 6, 63
"d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\ui\theme\Type.kt", "Kotlin", 0, 0, 0, 0, 0, 15, 17, 2, 34
"d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\utils\camera\CameraManager.kt", "Kotlin", 0, 0, 0, 0, 0, 82, 13, 22, 117
"d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\utils\date\DateUtils.kt", "Kotlin", 0, 0, 0, 0, 0, 45, 21, 12, 78
"d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\utils\export\CollageGenerator.kt", "Kotlin", 0, 0, 0, 0, 0, 165, 36, 39, 240
"d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\utils\export\ExportManager.kt", "Kotlin", 0, 0, 0, 0, 0, 138, 33, 28, 199
"d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\utils\image\ImageProcessor.kt", "Kotlin", 0, 0, 0, 0, 0, 104, 26, 27, 157
"d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\utils\storage\ImageStorage.kt", "Kotlin", 0, 0, 0, 0, 0, 140, 43, 33, 216
"d:\MyApps\TimeSelfie\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 0, 0, 0, 0, 170, 0, 0, 1, 171
"d:\MyApps\TimeSelfie\app\src\main\res\drawable\ic_launcher_foreground.xml", "XML", 0, 0, 0, 0, 30, 0, 0, 0, 30
"d:\MyApps\TimeSelfie\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\MyApps\TimeSelfie\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\MyApps\TimeSelfie\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 10
"d:\MyApps\TimeSelfie\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 3
"d:\MyApps\TimeSelfie\app\src\main\res\values\themes.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"d:\MyApps\TimeSelfie\app\src\main\res\xml\backup_rules.xml", "XML", 0, 0, 0, 0, 9, 0, 4, 0, 13
"d:\MyApps\TimeSelfie\app\src\main\res\xml\data_extraction_rules.xml", "XML", 0, 0, 0, 0, 9, 0, 10, 0, 19
"d:\MyApps\TimeSelfie\app\src\main\res\xml\file_paths.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\MyApps\TimeSelfie\app\src\test\java\com\example\timeselfie\ExampleUnitTest.kt", "Kotlin", 0, 0, 0, 0, 0, 9, 5, 3, 17
"d:\MyApps\TimeSelfie\build.gradle.kts", "Kotlinscript", 7, 0, 0, 0, 0, 0, 1, 0, 8
"d:\MyApps\TimeSelfie\docs\CONTEXT.md", "Markdown", 0, 0, 0, 488, 0, 0, 0, 89, 577
"d:\MyApps\TimeSelfie\gradle.properties", "Java Properties", 0, 0, 4, 0, 0, 0, 19, 0, 23
"d:\MyApps\TimeSelfie\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 5, 0, 0, 0, 1, 1, 7
"d:\MyApps\TimeSelfie\gradlew.bat", "Batch", 0, 39, 0, 0, 0, 0, 29, 22, 90
"d:\MyApps\TimeSelfie\settings.gradle.kts", "Kotlinscript", 22, 0, 0, 0, 0, 0, 0, 2, 24
"Total", "-", 108, 39, 9, 488, 463, 3003, 476, 630, 5216
